library,version,container
pypdf2,1.26.0,py27_1
pypyodbc,1.3.3,<pip>
pyqt,4.11.4,py27_2
pyqt,5.6.0,py27_2
pyqt5,5.5.0,py27_0
pytables,3.2.2,np19py27_0
pytables,3.3.0,np111py27_0
pytest,3.0.5,py27_0
pytest,3.0.7,py27_0
pytest-qt,1.11.0,py_0
python,2.7.13,0
python-crontab,1.7.2,py27_0
python-daemon,2.1.2,<pip>
python-dateutil,2.6.0,<pip>
python-dateutil,2.6.0,py27_0
python-dateutil,2.6.1,<pip>
python-editor,1.0.3,<pip>
python-hdfs,2.0.5,py27_0
python-nvd3,0.14.2,<pip>
python-pptx,0.6.5,py27_1
python-slugify,1.1.4,<pip>
pytz,2016.10,<pip>
pytz,2016.10,py27_0
pytz,2017.2,py27_0
pyyaml,3.12,py27_0
pyyaml,3.12,py27_1
pyzmq,16.0.2,py27_0
pyzmq,16.0.2,py27_1
qt,4.8.7,4
qt,5.6.2,3
qt5,5.5.0,0
qtawesome,0.4.3,py27_0
qtawesome,0.4.4,py27_0
qtconsole,4.2.1,py27_1
qtconsole,4.3.0,py27_0
qtpy,1.2.1,py27_0
r,3.3.1,r3.3.1_0
r-base,3.3.1,1
r-boot,1.3_18,r3.3.1_0
r-class,7.3_14,r3.3.1_0
r-cluster,2.0.4,r3.3.1_0
r-codetools,0.2_14,r3.3.1_0
r-foreign,0.8_66,r3.3.1_0
r-kernsmooth,2.23_15,r3.3.1_0
r-lattice,0.20_33,r3.3.1_0
r-mass,7.3_45,r3.3.1_0
r-matrix,1.2_6,r3.3.1_0
r-mgcv,1.8_12,r3.3.1_0
r-nlme,3.1_128,r3.3.1_0
r-nnet,7.3_12,r3.3.1_0
r-recommended,3.3.1,r3.3.1_0
r-rpart,4.1_10,r3.3.1_0
r-spatial,7.3_11,r3.3.1_0
r-survival,2.39_4,r3.3.1_0
readline,6.2,0
readline,6.2,2
redis,2.10.5,<pip>
redis,3.2.0,0
redis-py,2.10.5,py27_0
requests,2.12.4,py27_0
requests,2.13.0,py27_0
requests,2.14.2,<pip>
requests,2.9.1,<pip>
requests-file,1.4.1,py27_0
requests-kerberos,0.11.0,<pip>
requests-kerberos,0.8.0,py27_0
requests-oauthlib,0.8.0,<pip>
